MeterType,the_geom,MeterNo,LONG,LAT,Status,Borough
Strada,POINT (-73.95866381838485 40.608520059074564),3053059,-73.9586638184,40.6085200591,Active,Brooklyn
Strada,POINT (-73.95827001929611 40.60841304376992),3053060,-73.9582700193,40.6084130438,Active,Brooklyn
Strada,POINT (-73.95818135887977 40.60850095648756),3053061,-73.9581813589,40.6085009565,Active,Brooklyn
Strada,POINT (-73.95314683643932 40.61074222535039),3053062,-73.9531468364,40.6107422254,Active,Brooklyn
Strada,POINT (-73.96054852633398 40.60790356334393),3053063,-73.9605485263,40.6079035633,Active,Brooklyn
Strada,POINT (-73.9959186548689 40.603086989492695),3073002,-73.9959186549,40.6030869895,Inactive,Brooklyn
Strada,POINT (-73.99560053928046 40.602896546167564),3073003,-73.9956005393,40.6028965462,Active,Brooklyn
Strada,POINT (-73.99547803184153 40.60260721449097),3073004,-73.9954780318,40.6026072145,Active,Brooklyn
Strada,POINT (-73.99504489350532 40.6025629855027),3073005,-73.9950448935,40.6025629855,Active,Brooklyn
Strada,POINT (-73.99482448457894 40.602237742340414),3073006,-73.9948244846,40.6022377423,Active,Brooklyn
Strada,POINT (-73.99472053568594 40.602217034609765),3073007,-73.9947205357,40.6022170346,Active,Brooklyn
Strada,POINT (-73.99442605798686 40.60218783478443),3073008,-73.994426058,40.6021878348,Active,Brooklyn
Strada,POINT (-73.99418702033422 40.60171211944101),3073009,-73.9941870203,40.6017121194,Active,Brooklyn
Strada,POINT (-73.9940866957176 40.601548310247914),3073010,-73.9940866957,40.6015483102,Active,Brooklyn
Strada,POINT (-73.99342943705656 40.601594718079184),3073011,-73.9934294371,40.6015947181,Active,Brooklyn
Strada,POINT (-73.99328689816005 40.60130194198705),3073012,-73.9932868982,40.601301942,Active,Brooklyn
Strada,POINT (-73.9932041646165 40.601256352692786),3073013,-73.9932041646,40.6012563527,Active,Brooklyn
Strada,POINT (-73.99277125989485 40.60120076316057),3073014,-73.9927712599,40.6012007632,Active,Brooklyn
Strada,POINT (-73.99264338597392 40.60080692427538),3073015,-73.992643386,40.6008069243,Active,Brooklyn
Strada,POINT (-73.99216611154222 40.600820903057354),3073016,-73.9921661115,40.6008209031,Active,Brooklyn
Strada,POINT (-73.99187642499294 40.6004117684964),3073017,-73.991876425,40.6004117685,Active,Brooklyn
Strada,POINT (-73.99139734062562 40.600867842734274),3073018,-73.9913973406,40.6008678427,Active,Brooklyn
Strada,POINT (-73.99187887828379 40.60085367743612),3073019,-73.9918788783,40.6008536774,Active,Brooklyn
Strada,POINT (-73.99240417582199 40.60117178949826),3073020,-73.9924041758,40.6011717895,Active,Brooklyn
Strada,POINT (-73.99286678648001 40.60145193196334),3073021,-73.9928667865,40.601451932,Active,Brooklyn
Strada,POINT (-73.9933176176992 40.60172493883829),3073022,-73.9933176177,40.6017249388,Active,Brooklyn
Strada,POINT (-73.99321431998433 40.60238910655136),3073023,-73.99321432,40.6023891066,Active,Brooklyn
Strada,POINT (-73.99282391185076 40.602762378042435),3073024,-73.9928239119,40.602762378,Active,Brooklyn
Strada,POINT (-73.99314096021487 40.60272324090251),3073025,-73.9931409602,40.6027232409,Active,Brooklyn
Strada,POINT (-73.99339778431853 40.60247783576989),3073026,-73.9933977843,40.6024778358,Active,Brooklyn
Strada,POINT (-73.99429522012115 40.60231691190003),3073027,-73.9942952201,40.6023169119,Active,Brooklyn
Strada,POINT (-73.99480372058534 40.60262482900917),3073028,-73.9948037206,40.602624829,Active,Brooklyn
Strada,POINT (-73.99520734412287 40.60286922931746),3073029,-73.9952073441,40.6028692293,Active,Brooklyn
Strada,POINT (-73.99562497790214 40.60312239531812),3073030,-73.9956249779,40.6031223953,Active,Brooklyn
Strada,POINT (-73.99563072337182 40.60359431407777),3073031,-73.9956307234,40.6035943141,Active,Brooklyn
Strada,POINT (-74.00442615710509 40.60823135952502),3073033,-74.0044261571,40.6082313595,Active,Brooklyn
Strada,POINT (-74.00530876232422 40.60876341959862),3073032,-74.0053087623,40.6087634196,Active,Brooklyn
Strada,POINT (-74.00376616191326 40.60783014486059),3073034,-74.0037661619,40.6078301449,Active,Brooklyn
Strada,POINT (-74.00314720267552 40.60745723767354),3073035,-74.0031472027,40.6074572377,Active,Brooklyn
Strada,POINT (-74.0030887463024 40.60694144208199),3073036,-74.0030887463,40.6069414421,Active,Brooklyn
Strada,POINT (-74.00327233366627 40.606582514278706),3073037,-74.0032723337,40.6065825143,Active,Brooklyn
Strada,POINT (-74.00211496809669 40.60683027491574),3073038,-74.0021149681,40.6068302749,Active,Brooklyn
Strada,POINT (-74.00229378863793 40.60638463302219),3073039,-74.0022937886,40.606384633,Active,Brooklyn
Strada,POINT (-74.00185194607435 40.60667341578392),3073040,-74.0018519461,40.6066734158,Active,Brooklyn
Strada,POINT (-74.00137538280367 40.606385878694944),3073041,-74.0013753828,40.6063858787,Inactive,Brooklyn
Strada,POINT (-74.00115431815517 40.60625305057354),3073042,-74.0011543182,40.6062530506,Inactive,Brooklyn
Strada,POINT (-74.00065554876028 40.605948542177515),3073043,-74.0006555488,40.6059485422,Active,Brooklyn
Strada,POINT (-74.00085059378758 40.60627947002712),3073044,-74.0008505938,40.60627947,Active,Brooklyn
Strada,POINT (-74.00172905635308 40.60726247682632),3073045,-74.0017290564,40.6072624768,Active,Brooklyn
Strada,POINT (-74.00175667709811 40.60754293035557),3073046,-74.0017566771,40.6075429304,Inactive,Brooklyn
Strada,POINT (-74.00155799900797 40.607118608334524),3073047,-74.001557999,40.6071186083,Active,Brooklyn
Strada,POINT (-74.00145312011043 40.608135144595735),3073048,-74.0014531201,40.6081351446,Active,Brooklyn
Strada,POINT (-74.00126500662846 40.60845512463305),3073049,-74.0012650066,40.6084551246,Active,Brooklyn
Strada,POINT (-74.00130534980815 40.608757562527586),3073050,-74.0013053498,40.6087575625,Active,Brooklyn
Strada,POINT (-74.00166819365313 40.60840276046571),3073051,-74.0016681937,40.6084027605,Active,Brooklyn
Strada,POINT (-74.0017277376214 40.60876544462217),3073052,-74.0017277376,40.6087654446,Active,Brooklyn
Strada,POINT (-74.00186586265603 40.60828478910683),3073053,-74.0018658627,40.6082847891,Active,Brooklyn
Strada,POINT (-74.00221795808038 40.60768399539095),3073054,-74.0022179581,40.6076839954,Active,Brooklyn
Strada,POINT (-74.00227987138706 40.607466503805696),3073055,-74.0022798714,40.6074665038,Active,Brooklyn
Strada,POINT (-74.00227786930158 40.60714034211856),3073056,-74.0022778693,40.6071403421,Active,Brooklyn
Strada,POINT (-74.00390223114054 40.608121103340316),3073057,-74.0039022311,40.6081211033,Active,Brooklyn
Strada,POINT (-74.00439862796561 40.60842183349255),3073058,-74.004398628,40.6084218335,Active,Brooklyn
Strada,POINT (-74.00056309425437 40.60573892281639),3073059,-74.0005630943,40.6057389228,Active,Brooklyn
Strada,POINT (-74.00011736046582 40.605624693850324),3073060,-74.0001173605,40.6056246939,Active,Brooklyn
Strada,POINT (-73.99985490360578 40.60528615886238),3073062,-73.9998549036,40.6052861589,Active,Brooklyn
Strada,POINT (-73.99938998223116 40.60518595627372),3073063,-73.9993899822,40.6051859563,Active,Brooklyn
Strada,POINT (-73.99922842460245 40.60490031788494),3073064,-73.9992284246,40.6049003179,Active,Brooklyn
Strada,POINT (-73.9991509109556 40.6048437294466),3073065,-73.999150911,40.6048437294,Active,Brooklyn
Strada,POINT (-73.99878340699037 40.60482030176986),3073066,-73.998783407,40.6048203018,Active,Brooklyn
Strada,POINT (-73.99850690994386 40.60445625174229),3073067,-73.9985069099,40.6044562517,Active,Brooklyn
Strada,POINT (-73.99848801407201 40.60428940820379),3073068,-73.9984880141,40.6042894082,Active,Brooklyn
Strada,POINT (-73.99786916137721 40.60427038837918),3073069,-73.9978691614,40.6042703884,Active,Brooklyn
Strada,POINT (-73.99774946975552 40.603992266210874),3073070,-73.9977494698,40.6039922662,Active,Brooklyn
